INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID20409733,DSSTox_Substance_Id,DTXSID20409733,F1105-0212,CCOC(=O)N1CCN(CC1)S(=O)(=O)C1=CC=C(C=C1)C(=O)NC1=CC2=C(C=C1)C(=O)NC2=O
DTXSID10172323,DSSTox_Substance_Id,DTXSID10172323,Quinespar,CCOC(=O)C[C@H](NC(=O)C1=CC=C(NCC2=CC3=C(C=C2)N=C(N)N=C3N)C=C1)C(=O)OCC
DTXSID00497956,DSSTox_Substance_Id,DTXSID00497956,"1,2-Thiazole-4-carboxylic acid",OC(=O)C1=CSN=C1
DTXSID80192634,DSSTox_Substance_Id,DTXSID80192634,"3(2H)-Pyridazinone, 4,5-dihydro-6-(4-propoxyphenyl)-",CCCOC1=CC=C(C=C1)C1=NNC(=O)CC1
DTXSID90296910,DSSTox_Substance_Id,DTXSID90296910,MLS002706453,O=C1NC2=C(CCO2)C(=O)N1C1=CC=CC=C1
DTXSID8020337,DSSTox_Substance_Id,DTXSID8020337,Clomiphene citrate (1:1),OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
DTXSID30432850,DSSTox_Substance_Id,DTXSID30432850,4-hydroxy-N-phenylbenzenesulfonamide,OC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=C1
DTXSID10388008,DSSTox_Substance_Id,DTXSID10388008,1-[2-(2-hydroxy-3-morpholin-4-ylpropoxy)phenyl]ethanone,CC(=O)C1=CC=CC=C1OCC(O)CN1CCOCC1
DTXSID10821425,DSSTox_Substance_Id,DTXSID10821425,8-Acetyl-12-hydroxydodecanoic acid,CC(=O)C(CCCCO)CCCCCCC(O)=O
DTXSID80367269,DSSTox_Substance_Id,DTXSID80367269,"1H-Pyrazol-5-ol, 4,4'-[(4-nitrophenyl)methylene]bis[3-methyl-1-phenyl-",CC1=C(C(C2=C(C)NN(C2=O)C2=CC=CC=C2)C2=CC=C(C=C2)[N+]([O-])=O)C(=O)N(N1)C1=CC=CC=C1
DTXSID90177856,DSSTox_Substance_Id,DTXSID90177856,"1,3,4-Oxadiazole, 2,5-bis(3,4,5-trimethoxyphenyl)-",COC1=CC(=CC(OC)=C1OC)C1=NN=C(O1)C1=CC(OC)=C(OC)C(OC)=C1
DTXSID7047275,DSSTox_Substance_Id,DTXSID7047275,CP-331684,NC1=CC=C(C=N1)[C@@H](O)CNCCOC1=CC=C(CC(O)=O)C=C1
DTXSID1074834,DSSTox_Substance_Id,DTXSID1074834,"2,5-Bis(1-Aziridinyl)-3,6-bis(2-methoxyethoxy)-p-benzoquinone",COCCOC1=C(N2CC2)C(=O)C(OCCOC)=C(N2CC2)C1=O
DTXSID00353987,DSSTox_Substance_Id,DTXSID00353987,"3-oxo-3,4-dihydro-2H-1,4-benzothiazine-6-carboxylic acid",OC(=O)C1=CC2=C(SCC(=O)N2)C=C1
DTXSID70199495,DSSTox_Substance_Id,DTXSID70199495,Tianafac,CC1=C(CC(O)=O)SC2=C1C=C(Cl)C=C2
DTXSID3046081,DSSTox_Substance_Id,DTXSID3046081,Thymol iodide,CC(C)C1=C(OI)C=C(C)C(=C1)C1=CC(C(C)C)=C(OI)C=C1C
DTXSID70417646,DSSTox_Substance_Id,DTXSID70417646,AC1NRYIV,OC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(\NC(=O)C1=CC=CC=C1)=C\C1=CC=C(F)C=C1
DTXSID70362541,DSSTox_Substance_Id,DTXSID70362541,6-Methoxy-1-methyl-1H-indole-3-carbaldehyde,COC1=CC2=C(C=C1)C(C=O)=CN2C
DTXSID30196021,DSSTox_Substance_Id,DTXSID30196021,"p-Toluenesulfonamide, N,N'-ethylenebis-",CC1=CC=C(C=C1)S(=O)(=O)NCCNS(=O)(=O)C1=CC=C(C)C=C1
DTXSID80382851,DSSTox_Substance_Id,DTXSID80382851,"3,3-Dichloro-1-methylquinoline-2,4(1H,3H)-dione",CN1C(=O)C(Cl)(Cl)C(=O)C2=CC=CC=C12
DTXSID1044304,DSSTox_Substance_Id,DTXSID1044304,DL-Glutamine,NC(CCC(N)=O)C(O)=O
DTXSID90380666,DSSTox_Substance_Id,DTXSID90380666,4-(Piperazin-1-yl)-2-(trifluoromethyl)quinoline,FC(F)(F)C1=NC2=CC=CC=C2C(=C1)N1CCNCC1
